@relation birthrate_modified-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute division numeric
@attribute domain numeric
@attribute wealth numeric
@attribute age numeric
@attribute school numeric
@attribute class numeric
@attribute working numeric
@attribute newspaper numeric
@attribute tv numeric
@attribute asha numeric
@attribute grameen numeric
@attribute mclub numeric
@attribute born numeric
@attribute more numeric
@attribute method numeric
@attribute died numeric
@attribute birth numeric

@data
0.333333,0,0.25,0.72973,1,0.444444,0,0,1,0,0,0,0.444444,0,0,0.272727,5
0.333333,0,0.5,0.486486,1,0.388889,0,0,1,0,0,0,0.111111,1,0,0,1
0.333333,0,0.25,0.297297,1,0.222222,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.567568,1,0.388889,0,0,1,0,0,0,0.444444,0,1,0.090909,3
0.333333,0,0.5,0.297297,1,0.277778,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.486486,1,0.166667,0,0,0,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.378378,1,0.277778,1,0,0,0,0,0,0.444444,0,0,0,1
0.333333,0,0.25,0.486486,0,0,1,0,1,0,0,0,0.444444,0,1,0.090909,5
0.333333,0,0.25,0.810811,0,0,0,0,0,0,0,0,0.444444,0,1,0.181818,5
0.333333,0,0,0.324324,0,0,0,0,0,0,0,0,0.444444,1,1,0.090909,2
0.333333,0,0.5,0.810811,0,0,1,0,1,0,0,0,0.444444,0,1,0,1
0.333333,0,0.5,0.135135,1,0.333333,1,0,1,0,0,0,0.111111,1,1,0,0
0.333333,0,0.25,0.189189,1,0.666667,1,0,1,0,0,0,0.444444,1,0,0,0
0.333333,0,0.75,0.486486,1,0.5,0,1,1,0,0,0,0.111111,0,1,0,2
0.333333,0,1,0.702703,1,0.833333,1,1,1,0,0,0,0.111111,1,1,0,2
0.333333,0,0,0.405405,1,0.277778,0,0,1,0,0,0,0.333333,1,1,0,2
0.333333,0,0.5,0.594595,0,0,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.054054,1,0.277778,1,0,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.378378,1,0.277778,0,0,0,0,0,0,0.111111,1,1,0,2
0.333333,0,0.5,0.459459,1,0.277778,0,0,1,0,1,0,0.111111,0,1,0,2
0.333333,0,0.5,0.216216,1,0.666667,0,1,1,0,0,0,0,1,0,0,1
0.333333,0,0.5,0.351351,1,0.5,1,0,0,1,0,0,0.111111,1,1,0,1
0.333333,0,0.75,0.72973,1,0.5,0,1,1,0,0,0,0.111111,0,1,0,4
0.333333,0,0.5,0.324324,1,0.277778,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.378378,1,0.5,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,1,0.486486,1,0.888889,0,0,1,0,0,0,0.111111,0,1,0,1
0.333333,0,0.5,0.621622,1,0.5,1,0,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0,0.27027,1,0.277778,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.297297,1,0.444444,1,0,0,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.486486,1,0.111111,0,0,1,0,0,0,0.444444,0,1,0,4
0.333333,0,0.25,0.594595,1,0.333333,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.648649,1,0.388889,0,0,1,0,0,0,0.444444,0,1,0.090909,4
0.333333,0,0,0.324324,1,0.277778,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.75,0.459459,1,0.222222,0,0,1,0,0,0,0,0,1,0,2
0.333333,0,0,0.162162,1,0.222222,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.459459,1,0.333333,0,0,1,0,0,0,0.333333,0,1,0,2
0.333333,0,0,0.378378,1,0.555556,0,0,0,0,0,0,0.111111,0,1,0,1
0.333333,0,0.25,0.783784,1,0.222222,0,0,1,0,0,0,0.111111,1,0,0,1
0.333333,0,0.25,0.27027,1,0.111111,1,0,1,0,0,0,0.444444,1,1,0,2
0.333333,0,0.5,0.621622,0,0,1,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.513514,1,0.277778,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.351351,1,0.277778,1,0,0,0,0,0,0.444444,1,0,0,0
0.333333,0,0,0.324324,1,0.166667,1,0,1,0,0,1,0.444444,1,1,0.090909,2
0.333333,0,0,0.405405,0,0,1,0,0,0,0,1,0.444444,0,0,0,4
0.333333,0,0.25,0.540541,0,0,1,0,1,1,0,0,0.444444,0,1,0,2
0.333333,0,0.5,0.405405,1,0.555556,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.5,0.324324,1,0.444444,0,0,1,0,1,0,0.444444,1,1,0,1
0.333333,0,0.75,0.216216,1,0.444444,0,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0.75,0.216216,1,0.666667,1,0,1,0,0,0,0.111111,0,1,0,0
0.333333,0,0.25,0.567568,0,0,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.459459,1,0.222222,1,0,0,0,0,0,0.444444,0,1,0.090909,2
0.333333,0,0,0.216216,1,0.555556,1,1,0,0,0,0,0.444444,1,0,0,0
0.333333,0,0.25,0.378378,1,0.5,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,1,0.459459,1,0.888889,0,0,1,0,0,0,0.444444,0,1,0,1
0.333333,0,0.5,0.351351,1,0.277778,0,0,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0,0.351351,1,0.5,0,0,0,0,0,0,0.444444,1,0,0,1
0.333333,0,0.5,0.135135,1,0.444444,0,1,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.27027,1,0.444444,0,0,1,0,0,0,0.111111,1,1,0,1
0.333333,0,0.25,0.405405,1,0.333333,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.405405,1,0.277778,1,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0.5,0.702703,1,0.277778,0,0,1,1,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.216216,1,0.777778,0,1,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.621622,1,0.5,0,0,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0.75,0.756757,1,0.388889,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.75,0.540541,1,0.555556,0,1,1,0,0,0,0.444444,1,0,0,3
0.333333,0,0.25,0.351351,1,0.111111,0,0,0,0,0,0,0.111111,1,1,0,1
0.333333,0,0.25,0.72973,0,0,0,0,1,1,0,0,0.111111,0,0,0,4
0.333333,0,0.25,0.351351,0,0,0,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0.5,0.648649,1,0.5,0,0,1,0,0,0,0.444444,0,0,0,3
0.333333,0,0.25,0.351351,1,0.444444,1,0,0,0,0,0,0.111111,1,0,0,1
0.333333,0,0.25,0.432432,0,0,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.459459,0,0,0,0,0,0,0,0,0,0,0,0,2
0.333333,0,0,0.378378,0,0,0,0,1,0,0,0,0.111111,0,1,0.090909,2
0.333333,0,0.25,0.162162,1,0.5,1,0,1,0,0,0,0.111111,1,0,0,0
0.333333,0,0,0.135135,1,0.388889,0,0,0,0,0,0,0,1,1,0,1
0.333333,0,0,0.675676,0,0,1,0,1,0,0,0,0.444444,0,1,0.090909,5
0.333333,0,0.25,0.459459,0,0,0,0,1,0,0,0,0.444444,0,1,0.090909,5
0.333333,0,0.75,0.459459,1,0.277778,0,0,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0.75,0.351351,0,0,0,0,1,0,0,0,0.444444,0,1,0,1
0.333333,0,0.75,0.243243,1,0.555556,0,1,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.75,0.513514,1,0.666667,0,1,1,0,0,0,0.444444,1,0,0,2
0.333333,0,0.75,0.351351,1,0.666667,0,0,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0,0.513514,0,0,1,0,0,0,0,0,0,0,1,0,4
0.333333,0,0.25,0.378378,1,0.277778,0,0,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0.5,0.945946,0,0,0,0,1,0,0,0,0.444444,0,1,0.181818,6
0.333333,0,0.5,0.189189,1,0.111111,0,0,1,0,0,0,0,1,1,0,1
0.333333,0,0,0.297297,1,0.444444,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.75,0.540541,0,0,0,0,1,0,0,0,0,0,1,0,2
0.333333,0,0.5,0.297297,1,0,1,0,1,0,0,0,0.444444,1,1,0,2
0.333333,0,0,0.405405,1,0,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.75,0.405405,1,0.666667,0,1,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.297297,1,0.333333,1,0,1,0,0,0,0,1,1,0,1
0.333333,0,0.25,0.756757,0,0,1,0,1,0,0,0,0.444444,0,1,0.090909,8
0.333333,0,0,0.081081,0,0,0,0,0,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.648649,1,0.222222,0,0,0,0,0,0,0.444444,0,1,0,6
0.333333,0,0,0.243243,1,0.111111,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.108108,1,0.055556,0,0,0,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.648649,1,0.833333,1,1,1,0,0,0,0.111111,0,0,0,3
0.333333,0,0.25,0.567568,0,0,1,0,0,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.810811,1,0.277778,1,0,1,0,0,0,0.444444,0,0,0,6
0.333333,0,0.75,0.459459,1,0.277778,1,0,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0,0.432432,1,0,1,0,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0.25,0.72973,0,0,0,0,1,0,0,0,0.444444,0,0,0,1
0.333333,0,0.25,0.297297,1,0.277778,1,0,0,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.486486,1,0.222222,0,0,1,0,0,0,0.444444,1,0,0,0
0.333333,0,0.75,0.324324,1,0.444444,0,1,1,1,0,0,0.111111,1,1,0,1
0.333333,0,0.25,0.810811,0,0,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.189189,1,0.444444,1,0,1,0,0,0,0.111111,1,1,0,0
0.333333,0,0.25,0.108108,1,0.444444,0,1,1,1,0,0,0.444444,1,1,0,0
0.333333,0,0.75,0.324324,1,0.666667,0,1,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0.5,0.27027,1,0.222222,0,1,1,1,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.243243,1,0.5,0,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0.25,0.27027,1,0.277778,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.405405,1,0.277778,0,0,1,0,0,0,0.444444,0,0,0,2
0.333333,0,0.5,0.675676,1,0.444444,0,0,1,0,0,0,0.111111,0,0,0,2
0.333333,0,0.75,0.567568,1,0.222222,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.675676,1,0.388889,1,0,0,1,0,0,0.444444,0,1,0,1
0.333333,0,0.25,0.675676,0,0,0,0,1,0,0,0,0.444444,0,0,0,3
0.333333,0,0.25,0.864865,1,0,1,0,1,0,0,0,0.444444,0,0,0,6
0.333333,0,0.25,0.108108,1,0.277778,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.297297,1,0.388889,0,0,1,1,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.594595,1,0.166667,0,0,1,0,0,0,0.444444,0,1,0,4
0.333333,0,0.25,0.675676,1,0.055556,1,0,1,0,0,0,0.444444,0,1,0.090909,4
0.333333,0,0.25,0.27027,0,0,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.189189,1,0.666667,0,0,1,0,0,0,0.111111,1,0,0,1
0.333333,0,0.5,0.297297,1,0.277778,0,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0,0.432432,0,0,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.243243,1,0.277778,0,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0.5,0.108108,1,0.333333,0,1,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.297297,1,0.388889,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.243243,1,0.277778,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.648649,0,0,1,0,0,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.216216,1,0.333333,1,0,1,0,0,0,0.111111,1,1,0,0
0.333333,0,0,0.324324,1,0.111111,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.324324,0,0,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.540541,1,0.277778,1,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0,0.405405,1,0.444444,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.351351,1,0.333333,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.405405,1,0.166667,0,0,0,1,1,0,0.444444,0,1,0,4
0.333333,0,0,0.27027,1,0.222222,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.675676,1,0.222222,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.567568,1,0.277778,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.27027,1,0.333333,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.837838,0,0,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.081081,1,0.388889,0,0,1,0,0,0,0.111111,1,0,0,0
0.333333,0,0.25,0.27027,0,0,1,0,1,0,0,0,0.111111,1,1,0,1
0.333333,0,0,0.567568,0,0,1,0,1,0,0,0,0.444444,0,1,0.090909,3
0.333333,0,0.25,0.621622,1,0,0,0,1,0,0,0,0.444444,1,0,0,3
0.333333,0,0.75,0.324324,1,0.277778,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.189189,1,0.166667,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.243243,1,0.333333,0,1,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.5,0.72973,1,0.111111,1,0,1,0,0,0,0.444444,0,0,0,5
0.333333,0,0.25,0.702703,0,0,1,0,1,1,0,0,0.444444,0,0,0,2
0.333333,0,0.5,0.837838,1,0.277778,1,0,1,0,0,0,0.444444,0,1,0,5
0.333333,0,0.75,0.648649,1,0.277778,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.5,0.540541,0,0,0,0,1,0,0,0,0.444444,0,1,0,4
0.333333,0,0.5,0.567568,1,0.222222,1,0,1,1,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.324324,1,0.388889,1,0,1,0,0,0,0.444444,1,0,0,0
0.333333,0,0.25,0.756757,0,0,0,0,1,1,0,0,0.444444,0,1,0.090909,5
0.333333,0,0.5,0.216216,0,0,0,0,1,0,0,0,0,1,1,0.090909,2
0.333333,0,0.25,0.459459,0,0,1,0,1,1,0,0,0,0,1,0,3
0.333333,0,0.5,0.540541,1,0.277778,0,0,1,1,0,0,0.444444,0,1,0.090909,3
0.333333,0,0.5,0.405405,1,0.5,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.621622,1,0.222222,0,0,0,0,0,0,0.111111,0,1,0,3
0.333333,0,0.25,0.351351,1,0.166667,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.459459,1,0.388889,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.540541,1,0.277778,1,0,1,1,0,0,0,0,1,0,3
0.333333,0,0.5,0.513514,0,0,1,0,1,1,0,0,0.444444,1,0,0,2
0.333333,0,0.5,0.216216,1,0.333333,0,0,1,1,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.675676,1,0.111111,0,0,1,0,0,0,0.333333,0,1,0,5
0.333333,0,0.5,0.486486,1,0.222222,1,0,1,1,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.486486,1,0.277778,0,0,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0.25,0.702703,0,0,0,0,1,1,0,0,0,0,1,0,3
0.333333,0,0.25,0.567568,1,0.277778,0,0,1,0,0,0,0.111111,1,0,0,1
0.333333,0,0.5,0.216216,1,0.444444,0,0,1,0,0,0,0.333333,1,0,0,1
0.333333,0,0.25,0.540541,0,0,1,0,1,0,1,0,0.111111,0,1,0,3
0.333333,0,0.25,0.243243,1,0.277778,0,0,1,1,0,0,0.444444,0,1,0,2
0.333333,0,0,0.351351,1,0.222222,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0,0.297297,1,0.277778,1,0,0,0,0,0,0.444444,1,0,0,1
0.333333,0,0.25,0.189189,1,0.444444,1,0,1,0,0,0,0.333333,1,0,0,0
0.333333,0,0,0.351351,1,0.222222,0,0,1,0,0,0,0,1,0,0,0
0.333333,0,0,0.459459,1,0.222222,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.405405,1,0.277778,1,0,1,0,0,0,0,0,1,0,3
0.333333,0,0.25,0.486486,0,0,1,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0,0.243243,0,0,0,0,1,0,0,0,0.333333,1,1,0,1
0.333333,0,0,0.135135,1,0.333333,1,0,1,0,0,0,0.111111,1,1,0,1
0.333333,0,0.25,0.459459,1,0.166667,0,0,1,0,0,0,0.444444,0,0,0,1
0.333333,0,0,0.513514,0,0,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.540541,1,0.222222,1,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0,0.567568,1,0.222222,1,0,0,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.783784,0,0,0,0,1,0,0,0,0.333333,0,1,0.090909,3
0.333333,0,0,0.162162,1,0.222222,0,0,0,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.756757,0,0,0,0,1,0,0,0,0.444444,0,1,0,4
0.333333,0,0,0.621622,1,0.5,1,0,1,0,0,0,0,0,1,0,3
0.333333,0,0,0.27027,1,0.277778,1,0,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.297297,1,0.444444,1,0,1,0,0,0,0,1,1,0,0
0.333333,0,0,0.459459,1,0.277778,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.243243,1,0.388889,0,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0,0.351351,1,0.388889,1,0,1,0,0,0,0.444444,1,1,0,2
0.333333,0,0,0.351351,1,0.277778,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0,0.216216,1,0.277778,0,0,1,0,0,0,0,1,1,0,1
0.333333,0,0,0.783784,1,0.444444,0,0,1,0,0,0,0.111111,0,0,0,3
0.333333,0,0,0.216216,1,0.111111,1,0,1,0,0,0,0.111111,1,0,0,0
0.333333,0,0.25,0.540541,1,0.5,0,0,1,0,0,0,0,1,1,0,1
0.333333,0,0.25,0.621622,1,0.111111,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.189189,1,0.388889,0,0,1,0,0,0,0.444444,1,0,0,1
0.333333,0,0.5,0.594595,0,0,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.459459,1,0.166667,0,0,1,1,0,1,0.444444,0,1,0,2
0.333333,0,0.5,0.378378,1,0.333333,1,0,1,0,0,0,0.444444,1,1,0,2
0.333333,0,0.75,0.405405,0,0,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.5,0.540541,1,0.5,0,0,1,0,0,0,0.444444,1,0,0.090909,3
0.333333,0,0.25,0.486486,1,0.111111,0,0,1,0,0,0,0.444444,0,0,0,2
0.333333,0,0.25,0.324324,1,0.333333,1,0,1,0,0,0,0.444444,1,0,0,0
0.333333,0,0.25,0.621622,0,0,1,0,1,0,0,0,0.444444,1,1,0,2
0.333333,0,0.5,0.945946,0,0,0,0,1,0,0,0,0.444444,0,0,0.090909,5
0.333333,0,0.25,0.891892,0,0,0,0,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0.25,0.432432,1,0.166667,0,0,0,0,0,0,0.444444,0,1,0,2
0.333333,0,0.75,0.891892,0,0,0,0,1,0,0,0,0.111111,0,0,0,7
0.333333,0,0.5,0.72973,1,0.111111,0,0,1,0,0,0,0.444444,0,0,0,4
0.333333,0,0,0.189189,1,0.166667,0,0,1,0,0,0,0,1,1,0,1
0.333333,0,0,0.243243,1,0.222222,0,0,0,0,0,0,0,1,1,0,1
0.333333,0,0,0.648649,0,0,1,0,0,0,0,0,0.444444,0,1,0,4
0.333333,0,0,0.189189,1,0.111111,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.75,0.648649,0,0,1,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.756757,0,0,0,0,1,0,0,0,0.444444,0,0,0,5
0.333333,0,0,0.351351,1,0.166667,0,0,0,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.189189,1,0.222222,0,0,1,0,0,0,0.111111,1,1,0,0
0.333333,0,0.25,0.432432,0,0,0,0,1,0,0,0,0.444444,0,1,0,1
0.333333,0,0.25,0.405405,1,0,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.216216,0,0,0,0,1,0,0,0,0.111111,1,0,0,0
0.333333,0,0,0.513514,1,0.555556,0,1,1,0,0,0,0.444444,0,1,0,1
0.333333,0,0.25,0.297297,1,0.444444,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.486486,1,0.444444,0,1,0,0,0,0,0.444444,0,0,0,4
0.333333,0,0,0.108108,1,0.277778,0,0,1,0,0,0,0.444444,1,0,0,0
0.333333,0,0,0.378378,0,0,1,0,1,0,0,0,0.333333,0,0,0,3
0.333333,0,0,0.27027,1,0.277778,1,0,1,0,0,0,0.444444,1,0,0,0
0.333333,0,0,0.540541,0,0,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.297297,1,0.111111,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.72973,1,0.277778,1,0,1,0,0,0,0.111111,0,1,0.090909,4
0.333333,0,0.25,0.72973,1,0.277778,0,1,1,0,0,0,0.444444,0,1,0.090909,3
0.333333,0,0.25,0.27027,1,0.666667,0,1,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.5,0.621622,1,0.277778,1,1,1,0,0,0,0.444444,0,1,0.181818,4
0.333333,0,0.25,0.135135,1,0.166667,0,0,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.27027,1,0.277778,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.405405,1,0.277778,1,0,1,0,0,0,0.444444,0,1,0,1
0.333333,0,0.25,0.648649,1,0.055556,1,0,1,0,0,1,0.444444,0,0,0,4
0.333333,0,0,0.405405,1,0.277778,0,0,1,0,0,0,0.444444,0,0,0.090909,3
0.333333,0,0.25,0.783784,0,0,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.864865,1,0.277778,0,0,1,0,0,0,0.444444,0,0,0,4
0.333333,0,0.25,0.567568,1,0.166667,0,0,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0.25,0.702703,1,0,1,0,1,1,0,0,0.444444,0,1,0,5
0.333333,0,0.5,0.513514,0,0,0,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.540541,1,0.111111,1,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.25,0.405405,1,0.222222,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.351351,0,0,0,0,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0.25,0.918919,0,0,1,0,1,0,0,0,0.444444,0,0,0.181818,5
0.333333,0,0.25,0.189189,1,0.277778,0,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0.25,0.486486,0,0,0,0,1,0,0,0,0.444444,0,1,0.090909,3
0.333333,0,0,0.351351,1,0.277778,1,0,0,0,0,0,0.111111,0,1,0.090909,2
0.333333,0,0.25,0.351351,1,0.5,1,0,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.432432,0,0,0,0,1,0,0,0,0.444444,0,1,0,3
0.333333,0,0.5,0.351351,0,0,0,0,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0,0.567568,1,0.5,1,0,0,0,0,0,0.444444,0,1,0,4
0.333333,0,0.25,0.459459,1,0.222222,1,0,1,0,0,0,0.444444,0,1,0,4
0.333333,0,0.5,0.864865,0,0,1,0,1,0,0,0,0.444444,0,0,0.181818,7
0.333333,0,0,0.351351,1,0.5,0,1,0,0,0,0,0,1,1,0,1
0.333333,0,0.25,0.918919,0,0,0,0,0,0,0,0,0.111111,0,1,0,2
0.333333,0,0.5,0.432432,1,0.5,0,0,1,0,0,0,0,0,1,0.090909,3
0.333333,0,0,0.405405,1,0.555556,1,0,0,0,0,0,0.444444,1,1,0,0
0.333333,0,0.5,0.432432,0,0,0,0,1,0,1,0,0.444444,0,1,0,3
0.333333,0,0,0.081081,1,0.333333,0,0,0,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.621622,1,0.166667,1,0,1,0,0,0,0.444444,0,1,0,2
0.333333,0,0.25,0.702703,0,0,0,0,1,0,0,0,0.444444,0,1,0.090909,5
0.333333,0,0.25,0.27027,1,0.277778,1,0,1,0,0,0,0.444444,1,1,0,1
0.333333,0,0,0.135135,1,0.277778,1,0,1,0,0,0,0.444444,1,0,0.090909,1
0.333333,0,0,0.324324,0,0,1,0,0,0,0,0,0.444444,1,1,0,1
0.333333,0,0.5,0.459459,1,0.555556,1,1,1,0,0,0,0.111111,0,1,0,2
0.333333,0,0.25,0.216216,1,0.222222,0,0,1,0,0,0,0.444444,1,1,0,0
0.333333,0,0.25,0.567568,0,0,0,0,1,0,0,0,0.444444,0,1,0.090909,3
0.333333,0,0,0.378378,0,0,1,0,0,0,0,0,0.444444,0,1,0,3
0.333333,0,0.75,0.567568,1,0.222222,0,0,1,0,0,0,0.111111,0,1,0,4
0.333333,0,0.5,0.378378,1,0.388889,0,1,1,0,0,0,0.111111,1,0,0,1
0.333333,0,0.5,0.702703,0,0,1,0,1,0,0,0,0.333333,0,1,0.090909,4
0.333333,0,0.5,0.189189,1,0.277778,0,0,1,0,0,0,0.444444,1,0,0,0
0.333333,0,0.25,0.378378,1,0.222222,1,1,1,0,0,0,0.111111,1,0,0.090909,1
0.333333,0,0.5,0.594595,1,0.222222,0,0,1,0,0,0,0.444444,0,0,0,2
0.333333,0,0.25,0.405405,1,0.277778,1,0,1,0,0,0,0,0,1,0,2
0.333333,0,0.5,0.324324,1,0.277778,0,1,1,0,0,0,0.111111,1,0,0,0
0.333333,0,0.5,0.351351,1,0.388889,0,1,1,1,0,0,0,0,1,0,2
0.333333,0,0,0.162162,1,0,1,0,0,0,0,0,0,1,1,0,1
0.333333,0,0.5,0.27027,1,0.222222,1,1,1,1,0,0,0.333333,0,1,0,1
0.333333,0,0.25,0.432432,1,0.111111,1,0,1,0,0,0,0.444444,1,1,0,2
0.333333,0,0,0.513514,0,0,1,0,0,0,0,0,0.444444,1,0,0.090909,1
0.333333,0,0.25,0.756757,1,0.277778,1,1,1,0,0,0,0.111111,0,1,0,3
0.333333,0,0.25,0.594595,0,0,0,0,1,0,0,0,0.444444,0,1,0,4
